City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Vestmannaeyjar,IS,2021-05-27 21:12:54,63.4427,-20.2734,45.59,76,47,29.42
218,San Juan Del Sur,NI,2021-05-27 21:12:54,11.2529,-85.8705,87.42,60,93,21.65
219,Kantilo,IN,2021-05-27 21:12:54,20.35,85.1833,82.26,72,100,2.57
220,La Libertad,EC,2021-05-27 21:12:55,-2.2333,-80.9,73.06,88,100,12.39
221,Rassvet,RU,2021-05-27 21:12:55,46.8333,40.75,65.41,80,80,2.24
222,Salinopolis,BR,2021-05-27 21:09:13,-0.6136,-47.3561,79.92,83,79,8.86
223,Vardo,NO,2021-05-27 21:12:56,70.3705,31.1107,39.4,87,75,16.11
224,Qaqortoq,GL,2021-05-27 21:11:23,60.7167,-46.0333,55.9,52,28,1.57
225,Atambua,ID,2021-05-27 21:12:56,-9.1061,124.8925,69.3,83,19,6.6
226,Rio Grande,BR,2021-05-27 21:12:56,-32.035,-52.0986,63.95,69,0,2.19
227,Tairua,NZ,2021-05-27 21:12:57,-37.0167,175.85,49.08,65,94,0.65
228,Porto Santo,PT,2021-05-27 21:12:57,33.072,-16.3415,66.11,68,40,11.5
229,Kavaratti,IN,2021-05-27 21:12:58,10.5669,72.642,82.94,77,17,16.24
230,Aitape,PG,2021-05-27 21:12:58,-3.1374,142.3475,77.41,89,100,4.97
231,Miri,MY,2021-05-27 21:12:58,4.4148,114.0089,78.33,91,100,5.12
232,Poum,NC,2021-05-27 21:12:07,-20.2333,164.0167,71.55,71,97,7.05
233,Mount Gambier,AU,2021-05-27 21:10:11,-37.8333,140.7667,51.58,78,96,7.7
234,Miyako,JP,2021-05-27 21:12:59,39.6367,141.9525,59.77,89,98,7.14
235,Nome,US,2021-05-27 21:12:59,64.5011,-165.4064,59.16,40,1,9.22
236,Mahebourg,MU,2021-05-27 21:13:00,-20.4081,57.7,72.25,87,45,7.52
237,Torbay,CA,2021-05-27 21:13:00,47.6666,-52.7314,54.88,94,90,25.32
238,Martapura,ID,2021-05-27 21:13:00,-3.4167,114.85,77.09,94,9,2.28
239,Moron,AR,2021-05-27 21:13:01,-34.6534,-58.6198,69.69,62,16,6.35
240,Dingle,PH,2021-05-27 21:13:01,10.9995,122.6711,78.51,86,100,3.0
241,Namibe,AO,2021-05-27 21:13:01,-15.1961,12.1522,73.53,73,0,5.32
242,Grand Gaube,MU,2021-05-27 21:13:02,-20.0064,57.6608,72.37,80,6,5.01
243,Mafinga,TZ,2021-05-27 21:13:02,-7.25,35.0667,65.79,70,14,7.0
244,Coria,ES,2021-05-27 21:13:02,39.9879,-6.5377,71.46,46,100,0.49
245,Curaca,BR,2021-05-27 21:13:03,-8.9903,-39.9094,81.37,35,70,12.41
246,Srednekolymsk,RU,2021-05-27 21:13:03,67.45,153.6833,55.92,26,77,16.28
247,Bathsheba,BB,2021-05-27 21:13:03,13.2167,-59.5167,83.01,61,20,16.84
248,Dudinka,RU,2021-05-27 21:13:04,69.4058,86.1778,15.19,95,29,9.28
249,Samandag,TR,2021-05-27 21:13:04,36.0842,35.9771,73.92,82,7,4.41
250,Kaeo,NZ,2021-05-27 21:13:04,-35.1,173.7833,59.22,90,84,10.38
251,Sawakin,SD,2021-05-27 21:13:05,19.1059,37.3321,87.91,46,0,6.85
252,Baculin,PH,2021-05-27 21:13:05,7.4525,126.5842,78.67,87,14,3.6
253,Sitka,US,2021-05-27 21:13:05,57.0531,-135.33,49.89,71,90,8.05
254,Pyaozerskiy,RU,2021-05-27 21:13:06,65.8333,31.1667,40.57,79,100,8.72
255,College,US,2021-05-27 21:09:18,64.8569,-147.8028,60.75,42,75,3.0
256,Trojes,AL,2021-05-27 21:13:06,41.756,19.962,55.89,80,47,3.69
257,Ketchikan,US,2021-05-27 21:11:03,55.3422,-131.6461,55.38,48,99,7.49
258,Kahului,US,2021-05-27 21:13:07,20.8947,-156.47,87.82,62,40,16.11
259,Forestville,US,2021-05-27 21:13:07,38.8451,-76.875,86.86,41,20,8.05
260,Kenora,CA,2021-05-27 21:13:08,49.8167,-94.4337,48.18,16,86,2.77
261,Sachin,IN,2021-05-27 21:13:08,21.0833,72.8833,84.27,74,2,13.65
262,Vostok,RU,2021-05-27 21:11:01,46.4856,135.8833,44.74,80,100,2.08
263,Buenos Aires,AR,2021-05-27 21:11:40,-34.6132,-58.3772,69.69,77,0,9.22
264,Lebedinyy,RU,2021-05-27 21:13:09,58.5167,125.5167,43.56,98,100,4.09
265,Monsenhor Gil,BR,2021-05-27 21:10:37,-5.5642,-42.6078,85.19,44,11,3.09
266,Cuiluan,CN,2021-05-27 21:13:09,47.72,128.648,44.98,93,39,0.83
267,Gamba,GA,2021-05-27 21:13:09,-2.65,10.0,75.61,92,98,3.85
268,Kapuskasing,CA,2021-05-27 21:13:10,49.4169,-82.4331,49.3,21,29,8.99
269,Rundu,NA,2021-05-27 21:13:10,-17.9333,19.7667,55.65,35,0,4.34
270,Ambilobe,MG,2021-05-27 21:13:11,-13.2,49.05,69.22,91,9,2.91
271,Westport,US,2021-05-27 21:13:11,41.1415,-73.3579,83.17,36,1,1.99
272,Umm Lajj,SA,2021-05-27 21:13:11,25.0213,37.2685,93.0,34,97,4.65
273,Pareora,NZ,2021-05-27 21:13:12,-44.4871,171.2132,47.17,57,73,6.08
274,Cabedelo,BR,2021-05-27 21:13:12,-6.9811,-34.8339,77.67,84,34,12.55
275,Ahuimanu,US,2021-05-27 21:13:12,21.4447,-157.8378,83.91,56,40,10.11
